name,city,type,email,phone,status
Reynolds Glass,Cleburne,Roofing/Glass,info@reynoldsglass.com,817-645-XXXX,Priority
Tarrant Roofing,Fort Worth,Roofing,contact@tarrantroofing.com,,Hot
DFW General Contractors,Dallas,General Contractor,info@dfwgc.com,,Hot
Johnson Roofing & Construction,Arlington,Roofing,hello@johnsonroofingdfw.com,,Warm
Premier Contractors DFW,Irving,General Contractor,info@premiercontractorsdfw.com,,Warm
Lone Star Roofing,Mansfield,Roofing,info@lonestarroofing.com,,Warm
Cleburne Construction Co,Cleburne,General Contractor,info@cleburneconstruction.com,,Local
North Texas Builders,Denton,General Contractor,hello@ntxbuilders.com,,Warm
Alliance Roofing DFW,Keller,Roofing,contact@allianceroofingdfw.com,,Warm
Metro Roofing Solutions,Plano,Roofing,info@metroroofingdfw.com,,Warm
